,,,,,,,,5/26/92,,,,,
,,,,,,,,,,,,,
,,Table 1:,"MEAN, MEDIAN, AND SAMPLE SIZE--TRAVEL TIME FOR WASHCOG REGION",,,,,,,,,,
,,,,AM AND PM PEAK PERIOD,,,,,,,,,
,,,,,,,,,,,,,
,,,H2W,W2H,H2O,O2H,W2O,O2W,O2O,,,,
,WALK,1968,1.1,,,,,,,,,,
,,,(0.0),,,,,,,,,,
,,,,,,,,,,,,,
,,1988,1.1,1.3,1.3,0.9,1.4,0.8,1,,,,
,,,(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3:,Average Travel Time in minutes and Sample Size (N) for the Metropolitan,,,,,,,,,,,,
,Washington Region by Mode and Purpose (A.M. and P.M. Peak Period),,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,P  U  R  P  O  S  E,,,,,,,,,
Mode,Year,,Home to Work,Work to,Home to ,Other to ,Work to,Other to ,Other to,,,,
,,,Work,Home,Other,Home,Other,Work,Other,,,,
,,,,,,,,,,,,,
AUTO-1,1968,Time,28.3,32.5,19.2,17.8,27.3,24.4,17.9,,,,
,,N,11633,9124,3823,3656,996,341,738,,,,
,,,,,,,,,,,,,
,1988,Time,28.9,32.5,18.6,19.9,26.6,25.8,17.8,,,,
,,N,3260,2181,1378,1456,847,734,726,,,,
,,,,,,,,,,,,,
AUTO-2,1968,Time,32.3,36.4,17.2,17.9,27.8,25.8,17.1,,,,
,,N,4962,3792,7068,4191,399,178,1337,,,,
,,,,,,,,,,,,,
,1988,Time,31.2,32.3,18.1,18.7,26.4,32.9,17,,,,
,,N,311,196,1025,651,180,148,530,,,,
,,,,,,,,,,,,,
AUTO-3,1968,Time,40.7,47.3,17.3,18.5,32.3,35,15.1,,,,
,,N,403,324,1194,745,33,27,256,,,,
,,, ,,,,,,,,,,
,1988,Time,37.8,44.1,16.7,15.1,30.1,33.5,18.2,,,,
,,N,105,70,601,298,57,50,233,,,,
,,,,,,,,,,,,,
TRANSIT,1968,Time,44.3,51.4,39.6,42.8,38.5,36.8,33.5,,,,
,,N,3176,2693,875,391,172,44,72,,,,
,,,,,,,,,,,,,
,1988,Time,42.8,46,36,36.3,37.6,27.2,34.6,,,,
,,N,991,800,174,182,159,132,87,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALL,1968,Time,32.0504312481412,36.9236302014687,19.3115277777778,18.9928754313704,28.7318125,26.2322033898305,17.6240116521015,,,,
MODES,,N,20174,15933,12960,8983,1600,590,2403,,,,
,,,,,,,,,,,,,
,1988,Time,32.2050567816585,36.0641515244841,19.0320956576463,20.1988790104368,28.1386162510056,27.3231203007519,18.5175126903553,,,,
,,N,4667,3247,3178,2587,1243,1064,1576,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household,,,,,,,,,,,,,
        Travel Surveys.,,,,,,,,,,,,,
        A.M. Peak: 6-9 A.M.;   P.M. Peak: 3:30-6:30 P.M.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Table 5:,AVERAGE EUCLIDEAN TRAVEL DISTANCE (IN MILES)  ,,,,,,,,,,
,,,FOR THE METROPOLITAN WASHINGTON REGION,,,,,,,,,,
,,,BY MODE AND PURPOSE (AM AND PM PEAK PERIOD),,,,,,,,,,
,,,,,,,,,,,,,
,,,,P  U  R  P  O  S  E,,,,,,,,,
,Mode,Year,Home to,Work to,Home to,Other to,Work to,Other to,Other to,,,,
,,,Work,Home,Other,Home,Other,Work,Other,,,,
,,,,,,,,,,,,,
,AUTO-1,1968,6.9,6.9,4.5,4,5.5,5,3.8,,,,
,,,,,,,,,,,,,
,,1988,7.8,8.3,4.2,4.5,6.4,6.3,5,,,,
,,,,,,,,,,,,,
,AUTO-2,1968,6.8,6.9,3.9,3.9,5.3,6,3.5,,,,
,,,,,,,,,,,,,
,,1988,8.6,8,4.2,3.9,5.7,7.5,4.4,,,,
,,,,,,,,,,,,,
,AUTO-3,1968,7.7,9.8,3.9,3.9,6,5.7,3.4,,,,
,,,,,,,,,,,,,
,,1988,10.1,11.5,3.4,3.8,6.1,13,5.9,,,,
,,,,,,,,,,,,,
,TRANSIT,1968,4.4,4.5,3.3,3.4,3.2,5.1,3.7,,,,
,,,,,,,,,,,,,
,,1988,7.2,7.5,4,4,6.2,4.6,4.4,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,ALL,1968,6.49780906116784,6.55332329128224,4.03648148148148,3.91893576756095,5.2131875,5.34118644067797,3.58747399084478,,,,
,,,,,,,,,,,,,
,MODES,1988,7.77765159631455,8.15377271327379,4.03775959723096,4.23320448395825,5.46621078037007,6.57086466165414,4.89815989847716,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household,,,,,,,,,,,,
,        Travel Surveys.,,,,,,,,,,,,
,        AM Peak: 6-9 AM;   PM Peak: 3:30-6:30 PM,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Table 2:,"AVERAGE TRAVEL SPEED FOR THE METROPOLITAN WASHINGTON REGION, ",,,,,,,,,,
,,,BY MODE AND PURPOSE (AM AND PM PEAK PERIOD),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,,,,
,,,,P  U  R  P  O  S  E,,,,,,,,,
,Mode,Year,H2W,W2H,H2O,O2H,W2O,O2W,O2O,,,,
,-,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,,
,AUTO1,1968,14.6289752650177,12.7384615384615,14.0625,13.4831460674157,12.0879120879121,12.2950819672131,12.7374301675978,,,,
,,,,,,,,,,,,,
,,1988,16.1937716262976,15.3230769230769,13.5483870967742,13.5678391959799,14.4360902255639,14.6511627906977,16.8539325842697,,,,
,,,,,,,,,,,,,
,AUTO2,1968,12.6315789473684,11.3736263736264,13.6046511627907,13.072625698324,11.4388489208633,13.953488372093,12.280701754386,,,,
,,,,,,,,,,,,,
,,1988,16.5384615384615,14.8606811145511,13.9226519337017,12.5133689839572,12.9545454545455,13.677811550152,15.5294117647059,,,,
,,,,,,,,,,,,,
,AUTO3,1968,11.3513513513514,12.431289640592,13.5260115606936,12.6486486486487,11.1455108359133,9.77142857142857,13.5099337748344,,,,
,,,,,,,,,,,,,
,,1988,16.031746031746,15.6462585034014,12.2155688622755,15.0993377483444,12.1594684385382,23.2835820895522,19.4505494505495,,,,
,,,,,,,,,,,,,
,TRANSIT,1968,5.95936794582393,5.25291828793774,5,4.76635514018692,4.98701298701299,8.31521739130435,6.62686567164179,,,,
,,,,,,,,,,,,,
,,1988,10.0934579439252,9.78260869565217,6.66666666666667,6.61157024793388,9.8936170212766,10.1470588235294,7.63005780346821,,,,
,,,,,,,,,,,,,
,,,12.1642214624704,10.6489907772204,12.541156332933,12.3802289391781,10.886582598992,12.2167086644699,12.2133622979658,,,,
,,,,,,,,,,,,,
,,,14.4902429125555,13.5654477400997,12.7293168441241,12.5745725248543,11.6556067966023,14.4292407074897,15.8709000945737,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,-,-,,,,,,,,,,,
,,,,,,,,,,,,,
,Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household,,,,,,,,,,,,
,        Travel Surveys.,,,,,,,,,,,,
,        AM Peak: 6-9 AM;   PM Peak: 3:30-6:30 PM,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Table 6:,PERCENT CHANGE IN SPEED ,,,,,,,,,,
,,,BETWEEN 1968 AND 1988 FOR THE METROPOLITAN ,,,,,,,,,,
,,,FOR THE METROPOLITAN WASHINGTON REGION,,,,,,,,,,
,,,BY MODE AND PURPOSE (AM AND PM PEAK PERIOD),,,,,,,,,,
,,,,,,,,,,,,,
